Order_ID,Order_Type,Employee_ID,Customer_ID,Order_Date,Delivery_Date
1242691897,2,99999999,90,02JUL2011,04JUL2011
1242736731,1,121107,10,07JUL2011,07JUL2011
1242773202,3,99999999,24,11JUL2011,14JUL2011
1242782701,3,99999999,27,12JUL2011,17JUL2011
1242827683,1,121105,10,17JUL2011,17JUL2011
1242836878,1,121027,10,18JUL2011,18JUL2011
1242838815,1,120195,41,19JUL2011,19JUL2011
1242848557,2,99999999,2806,19JUL2011,23JUL2011
1242923327,3,99999999,70165,28JUL2011,29JUL2011
1242938120,1,120124,171,30JUL2011,30JUL2011
