Series ID	Region Name	Region Code	2009	2010	2011	2012	2013	2014	2015	2016	2017
HOWNRATEACS037001	"Alamance County, NC"	37001	69.82532626659830	68.84883095848140	69.06541155746390	67.48943755400280	67.14242332219860	66.95303397570680	66.48049880604940	65.75282940607160	66.62753691240150
HOWNRATEACS037003	"Alexander County, NC"	37003	80.94463438844160	79.98855554647270	79.25655856794320	78.34135607206710	78.47151331218100	79.13214009501710	77.57432620172270	75.61627065828280	74.30538137836860
HOWNRATEACS037005	"Alleghany County, NC"	37005	76.22089429219040	76.53718524302170	74.86596413385100	71.96002220988340	75.17566568047340	73.10299990712360	73.31967976168310	73.92523364485980	74.08095061269960
HOWNRATEACS037007	"Anson County, NC"	37007	71.75745209368350	71.11450255733380	67.97640021305360	67.88524590163940	68.07283142389530	68.55054010761080	65.67053593479870	66.15710547085950	66.25026376872760
HOWNRATEACS037009	"Ashe County, NC"	37009	79.46414246751160	78.64713452948750	79.49160815529610	76.27492797545550	74.58114108735400	75.03547158539320	75.54939912395640	73.37923768672160	74.67625899280580
HOWNRATEACS037011	"Avery County, NC"	37011	70.41964563257690	71.33341711700390	69.97992618014640	71.18798361401910	74.61284260999160	77.03108672936260	78.48502875272650	74.64355043844970	78.20346172265170
HOWNRATEACS037013	"Beaufort County, NC"	37013	75.05398616191440	74.88410027472530	73.64916773367480	71.67251461988300	69.71563276488200	70.11059927399320	69.90357249054840	69.05708514935690	70.45561296383280
HOWNRATEACS037015	"Bertie County, NC"	37015	74.37473279179140	76.34297520661160	75.93117509572830	75.56182606066710	76.68072564662840	74.26364572605560	74.72264180426060	74.13257515926920	71.79956896551730
HOWNRATEACS037017	"Bladen County, NC"	37017	67.71485123228200	68.94479798727250	69.65267770490840	69.95580013464860	68.55198995532460	69.36665985341780	66.93739920832720	67.51733293996160	68.73661033087360
HOWNRATEACS037019	"Brunswick County, NC"	37019	75.18322142155260	75.76109391124870	76.60174857951830	76.46767886971700	75.31388394283890	74.14020809908800	74.60932746962400	74.21962190131560	76.40610104861770
HOWNRATEACS037021	"Buncombe County, NC"	37021	69.96044894797870	69.26734509171980	68.33854023694680	67.29038819554570	66.55127189732850	66.25128360520510	66.17905475744330	66.76186047660000	67.07904759964970
HOWNRATEACS037023	"Burke County, NC"	37023	75.62243213821680	74.78827137886830	74.32916125208030	73.27943993432450	72.09225286148360	71.69159821961180	72.16503183020810	71.12380819658800	72.09272600511270
HOWNRATEACS037025	"Cabarrus County, NC"	37025	74.66005718780830	74.42165019317830	74.22538550044230	73.87218683171340	73.90078729650390	72.87376511725590	71.71633406452300	72.28994591421740	71.64440619092270
HOWNRATEACS037027	"Caldwell County, NC"	37027	76.90398833431400	76.85530245070210	76.89981932819590	73.39991646396890	72.47351213156670	71.45869037197780	71.02994723935500	71.45586028107520	71.74442918476180
HOWNRATEACS037029	"Camden County, NC"	37029	80.69333333333330	83.78517678589840	83.53013029315960	83.87031816351190	84.87000000000000	82.18499058193710	81.66288140614200	77.96743182264080	77.61599689380700
HOWNRATEACS037031	"Carteret County, NC"	37031	75.99891274802940	73.85129360578040	72.73854547709100	71.11785999141050	70.47567142035310	70.21515687273380	71.38813574471890	73.02043659320950	73.28659745023220
HOWNRATEACS037033	"Caswell County, NC"	37033	76.98585671226520	74.10290058373680	75.04188363142400	74.48938000996330	71.10396958312590	73.53911510823880	76.86979355306050	76.21161337077630	76.91425951398440
HOWNRATEACS037035	"Catawba County, NC"	37035	74.23426598528900	73.21918668862300	72.89611143354610	72.49976956401510	72.14099765968080	71.24953974015040	71.00534942102700	69.19155610744400	69.69300813008130
HOWNRATEACS037037	"Chatham County, NC"	37037	80.70677186061800	80.53917996953040	80.34189416483370	80.44066669832380	80.68935386727830	78.05801723344880	77.11002628614350	77.07229483103730	76.12669281432690
HOWNRATEACS037039	"Cherokee County, NC"	37039	80.60433783731160	82.64792513329110	82.01095403745100	80.85896864318620	81.70395227442210	81.48730622332060	78.80063124671230	76.77537450035490	77.12498148970830
HOWNRATEACS037041	"Chowan County, NC"	37041	68.40467464214090	67.69862251287050	64.85770089285710	65.33324057325730	63.36709211986680	65.25811823480430	64.87368128817320	66.37774360408220	69.13431567016150
HOWNRATEACS037043	"Clay County, NC"	37043	82.74216967434140	82.31574787591380	82.93528505392910	80.21799407209100	79.36326374988090	77.71971496437050	75.52678824529910	78.41207349081370	78.52938428478000
HOWNRATEACS037045	"Cleveland County, NC"	37045	69.47709895795300	68.80270343788580	66.95294253186560	66.31094852364780	67.68458481489230	68.08261315365460	67.41754327144710	66.28908542208060	66.95360419397120
HOWNRATEACS037047	"Columbus County, NC"	37047	72.60481021746110	73.05746459462890	73.73952641165760	71.90671954014620	72.09251502458570	69.20543132159720	69.93000569507470	69.58641963906390	70.96984606209700
HOWNRATEACS037049	"Craven County, NC"	37049	63.48196967025220	62.85900098600710	62.63034076083050	62.48316643209360	63.29611228294660	63.00957265976800	62.90669000079550	64.22018348623850	64.19275341656650
HOWNRATEACS037051	"Cumberland County, NC"	37051	58.44186054467150	58.81286541883520	58.37206302161030	56.55434133543910	55.21693647851950	54.17330696415200	53.50728954830580	53.21887186386470	53.27126051690260
HOWNRATEACS037053	"Currituck County, NC"	37053	84.25937645023840	83.54158615655460	80.62858610944590	79.23894557823130	79.07182599898840	79.11384513072030	79.20808346340260	81.66889131577880	81.77944163447370
HOWNRATEACS037055	"Dare County, NC"	37055	71.80341524364850	72.38023727286380	71.64357025778570	73.81516587677730	72.00340455505990	68.90734265734270	66.98581151228520	66.67047531992690	67.27210807129070
HOWNRATEACS037057	"Davidson County, NC"	37057	73.95767642947700	73.62738486168280	74.03510967863070	73.07120323068400	73.40901187341650	72.93943632335290	71.92362792076270	71.03579339663970	71.36777178103320
HOWNRATEACS037059	"Davie County, NC"	37059	83.39506481805900	84.36810667459790	84.55891409848990	82.53119866624170	80.88723861637680	80.58969856599360	78.26510721247560	74.55856993660890	75.00181233839980
HOWNRATEACS037061	"Duplin County, NC"	37061	70.36195580410890	69.81423038301540	68.21834107404600	66.71705062719340	66.09186527341670	65.64480948810580	66.55208794200730	68.97777777777780	68.70950737157140
HOWNRATEACS037063	"Durham County, NC"	37063	57.85681510968910	57.02899737876800	57.01199433212920	56.44730869762560	56.09813644268710	56.43891061005690	55.44912311291280	54.77205898058420	55.44682377441680
HOWNRATEACS037065	"Edgecombe County, NC"	37065	61.36228788418180	63.04095292534070	63.89622693071470	65.16702488069650	63.33637858578480	62.50802796484210	60.95884081542130	59.80315400961860	58.77592501976140
HOWNRATEACS037067	"Forsyth County, NC"	37067	67.79089025686080	66.82674281532050	66.79869787188620	65.65507335590440	64.98187611913880	64.20616495034940	63.27080797624870	62.95898398948800	63.76145892378960
HOWNRATEACS037069	"Franklin County, NC"	37069	76.91144436243180	78.59486585601230	77.56086634388410	76.43480920180770	76.37640496631440	73.62105122998570	72.84785693074210	70.70180015653540	71.65893066508200
